Original_Feature,Importance
balance,0.16181859428574072
age,0.14021525140075664
day,0.12245437662767979
campaign,0.06781910211761884
pdays,0.03938380787779747
poutcome_success,0.034810886958544195
contact_unknown,0.02686275960688453
previous,0.023279156468359746
housing_no,0.017657637695452623
contact_cellular,0.017621710698749633
housing_yes,0.017259900168504233
education_secondary,0.014704664840814582
job_technician,0.013937275305523524
job_blue-collar,0.013293322143219724
education_tertiary,0.013156065984029427
marital_married,0.01301864879442566
month_may,0.012999136011710863
month_apr,0.01272948215280133
job_management,0.012450085087111701
month_aug,0.012400929587296043
job_admin.,0.011929144070382284
poutcome_unknown,0.011229803324075496
month_jul,0.01086913342917109
marital_single,0.01082923415328153
month_jun,0.010668692606979249
month_oct,0.010128231065668734
education_primary,0.010050387875676777
loan_yes,0.009860225639625927
loan_no,0.009827776840069104
job_services,0.009689425181422368
month_nov,0.00920118408051238
month_mar,0.008666817530695693
marital_divorced,0.008537385218844552
month_feb,0.007856114413021233
poutcome_failure,0.0066790784799079924
job_self-employed,0.006463886541516589
job_retired,0.006146368888472329
education_unknown,0.006015166782672971
month_jan,0.0058392145308871915
contact_telephone,0.005711225227468588
job_entrepreneur,0.005635925227850531
job_unemployed,0.005580025916344853
month_sep,0.005124915099487175
job_housemaid,0.004044772423197282
job_student,0.004019068113184216
poutcome_other,0.0033339927709776637
month_dec,0.0024885941184102133
default_yes,0.0022117343127112123
default_no,0.0021889181378671667
job_unknown,0.001300764186596502
